id,contact_id,outreach_datetime,outreach_medium,rep_id,notes
1,814,2025-12-20 12:00,Letter,1,Notes: Letter status: Sent; Source: 11.15 Similar to Master G
2,361,2025-11-25 12:00,Email,1,Notes: Bring ecommerce features to your website; Status: Reached out; Source: 11.15 Similar to Master G
3,361,2025-12-02 12:00,Call,1,Status: Reached out; Source: 11.15 Similar to Master G
4,361,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
5,935,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
6,935,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
7,35,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
8,653,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
9,653,2025-12-02 12:00,Call,1,Status: Reached out; Source: 11.15 Similar to Master G
10,653,2025-12-20 12:00,Letter,1,Notes: Letter status: Sent; Source: 11.15 Similar to Master G
11,239,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
12,511,2025-12-20 12:00,Letter,1,Notes: Letter status: Not our customer; Source: 11.15 Similar to Master G
13,124,2025-12-20 12:00,Letter,1,Notes: Letter status: Permanently closed; Source: 11.15 Similar to Master G
14,801,2025-12-01 12:00,Email,1,Source: 11.15 Similar to Master G
15,801,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
17,530,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
18,587,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
19,102,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
20,102,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
21,865,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
22,865,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
23,393,2025-11-26 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
24,393,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
25,63,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
26,861,2026-02-12 12:00,Email,1,Source: 11.15 Similar to Master G
27,861,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
28,527,2025-12-03 12:00,Email,1,Source: 11.15 Similar to Master G
29,527,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
30,724,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
31,54,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
32,24,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
33,24,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
34,278,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
35,276,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
36,276,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
37,407,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
38,726,2025-12-01 12:00,Email,1,Source: 11.15 Similar to Master G
39,726,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
40,783,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
41,783,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
42,422,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
43,446,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
44,398,2025-11-25 12:00,Email,1,Status: Bad Timing; Source: 11.15 Similar to Master G
45,398,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
46,853,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
47,765,2025-12-01 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
48,765,2025-12-20 12:00,Letter,1,Notes: Letter status: Letter sent; Source: 11.15 Similar to Master G
49,140,2025-11-25 12:00,Email,1,Status: Reached out; Source: 11.15 Similar to Master G
50,140,2025-12-02 12:00,Call,1,Status: Reached out; Source: 11.15 Similar to Master G
