id,company_name,website,status,notes
1,McLane Company,mclaneco.com,Warm,Met at NACS 2024 - large tobacco and snack buyer
2,Eby-Brown Company,eby-brown.com,Warm,Strong Midwest presence - key account target
3,S. Abraham & Sons,sabraham.com,Approaching,Referred by McLane contact - regional Michigan distributor
4,Core-Mark International,core-mark.com,Cold,Large national player - needs senior contact
5,SpartanNash,spartannash.com,Cold,Midwest grocery focus - met at trade show
6,H.T. Hackney,hthackney.com,Approaching,Interested in tobacco line - follow up Q2
7,Farner-Bocken Company,farnerbocken.com,Warm,Iowa-based - strong c-store relationships
8,Vistar Corporation,vistar.com,Cold,National vending and foodservice focus
9,Associated Wholesale Grocers,awginc.com,Cold,Kansas-based co-op - grocery heavy
10,Bunzl Distribution,bunzlusa.com,Cold,Janitorial and packaging focus
11,Imperial Trading Company,imperialtrading.com,Cold,Louisiana roots but Midwest expansion
12,GSC Enterprises,gscenterprises.com,Approaching,Oklahoma-based - expanding into Midwest
13,General Wholesale Distributors,generalwholesale.com,Cold,Michigan-based regional distributor
14,Michigan Wholesale Tobacco,miwholesaletobacco.com,Approaching,Tobacco specialist - Detroit metro area
15,Illinois Wholesale Cash & Carry,ilwholesale.com,Cold,Chicago area - cash and carry model
16,Arrowhead Wholesale,arrowheadwholesale.com,Cold,Minnesota-based regional player
17,Standard Distributing,standarddistributing.com,Cold,Ohio-based - broad SKU catalog
18,Nash Brothers Distributing,nashbrosdist.com,Cold,Family-owned Indiana distributor
19,Midwest Grocery Distributors,midwestgrocery.com,Cold,Wisconsin-based co-op grocery supplier
20,Central Restaurant Products,centralrestaurant.com,Cold,Indiana foodservice focus
21,Lipari Foods,liparifoods.com,Warm,Michigan specialty and deli distributor - referred by Eby-Brown
22,Atlas Wholesale Foods,atlaswholesalefoods.com,Cold,Ohio regional food distributor
23,Heartland Wholesale,heartlandwholesale.com,Cold,Iowa general merchandise and grocery
24,Great Lakes Distributing,greatlakesdist.com,Cold,Michigan/Ohio border - beverage heavy
25,Prairie Farms Dairy,prairiefarmsdairy.com,Cold,Illinois dairy and beverage distributor
26,Superior Wholesale Tobacco,superiorwholesaletobacco.com,Approaching,Minnesota tobacco specialist
27,Troyer Foods,troyerfoods.com,Cold,Indiana Amish country distributor - specialty foods
28,Dot Foods,dotfoods.com,Cold,Illinois-based redistributor - massive SKU range
29,Nash Finch Distribution,nashfinch.com,Cold,Minnesota grocery distribution arm
30,Keystroke Wholesale,keystrokewholesale.com,Cold,Wisconsin general merchandise
31,Reinhart Foodservice,reinhartfoodservice.com,Cold,Wisconsin foodservice - restaurant and convenience
32,Capital City Distributing,capitalcitydist.com,Cold,Columbus Ohio - general wholesale
33,Buckeye Wholesale,buckeyewholesale.com,Cold,Ohio statewide distributor
34,Great Plains Distributing,greatplainsdist.com,Cold,Kansas/Nebraska regional player
35,Midwest Tobacco Distributors,midwesttobacco.com,Cold,Multi-state tobacco specialist
36,River City Wholesale,rivercitywholesale.com,Cold,St. Louis area - Missouri based
37,Gateway Wholesale Foods,gatewaywholesalefoods.com,Cold,Missouri gateway region distributor
38,North Star Wholesale,northstarwholesale.com,Cold,Minnesota/Wisconsin border - cold chain focus
39,Crown Distributing,crowndistributing.com,Cold,Chicago suburban general merchandise
40,Lake Shore Wholesale,lakeshorewholesale.com,Cold,Chicago lakefront area distributor
41,Hawkeye Wholesale,hawkeyewholesale.com,Cold,Iowa statewide general merchandise
42,Cornhusker Distributors,cornhuskerdist.com,Cold,Nebraska-based agricultural and grocery
43,Bluegrass Wholesale,bluegrasswholesale.com,Do Not Contact,Competitor relationship - do not approach
44,Tri-State Wholesale,tristatewholesale.com,Cold,Indiana/Ohio/Michigan overlap territory
45,Cardinal Wholesale,cardinalwholesale.com,Cold,Indiana statewide distributor
46,Metro Wholesale Foods,metrowholesalefoods.com,Cold,Chicago metro specialty foods
47,Horizon Wholesale,horizonwholesale.com,Converted,Q4 2025 signed - first order January 2026
48,Prairie Wholesale,prairiewholesale.com,Converted,Signed contract Nov 2025 - tobacco and snacks
49,Ozark Wholesale Distributors,ozarkwholesale.com,Do Not Contact,Bad debt history - flagged by accounting
50,Central States Wholesale,centralstateswholesale.com,Converted,Active account since Q3 2025 - strong reorders
